,ll,Bluewidth,Redwidth,Maxratio,fmin,fmin_sp,Blueratio,Redratio,Fullratio,Element,ionisation,Teff,logg,FeH,Resolution,min_snr_res,min_snr_AA
84,5330.0,5329.6,5330.3,0.945,0.77,0.745,0.482,0.945,0.631,Fe,1,5750.0,4.5,0.0,20000,19,37
85,5332.9,5332.5,5333.2,0.982,0.631,0.627,0.923,0.982,0.947,Fe,1,5750.0,4.5,0.0,20000,12,23
263,5337.7,5337.5,5337.9,0.748,0.911,0.872,0.748,0.605,0.669,Fe,2,5750.0,4.5,0.0,20000,50,97
86,5339.9,5339.5,5340.3,0.964,0.497,0.496,0.959,0.964,0.962,Fe,1,5750.0,4.5,0.0,20000,8,17
87,5341.0,5340.6,5341.4,0.953,0.504,0.492,0.953,0.857,0.903,Fe,1,5750.0,4.5,0.0,20000,9,17
88,5349.7,5349.5,5350.0,0.891,0.813,0.787,0.392,0.891,0.544,Fe,1,5750.0,4.5,0.0,20000,24,46
89,5353.4,5353.1,5353.7,0.872,0.688,0.614,0.872,0.585,0.7,Fe,1,5750.0,4.5,0.0,20000,14,27
90,5361.6,5361.4,5361.9,0.925,0.841,0.826,0.809,0.925,0.863,Fe,1,5750.0,4.5,0.0,20000,28,54
264,5362.9,5362.6,5363.1,0.892,0.733,0.69,0.744,0.892,0.811,Fe,2,5750.0,4.5,0.0,20000,16,32
91,5364.9,5364.5,5365.3,0.984,0.543,0.541,0.966,0.984,0.976,Fe,1,5750.0,4.5,0.0,20000,9,19
92,5365.4,5365.0,5365.8,0.977,0.663,0.658,0.977,0.953,0.968,Fe,1,5750.0,4.5,0.0,20000,13,25
93,5367.5,5367.1,5367.9,0.984,0.492,0.484,0.956,0.984,0.969,Fe,1,5750.0,4.5,0.0,20000,8,17
94,5370.0,5369.6,5370.4,0.985,0.465,0.464,0.818,0.985,0.894,Fe,1,5750.0,4.5,0.0,20000,8,16
95,5371.5,5371.1,5371.9,0.974,0.288,0.276,0.923,0.974,0.948,Fe,1,5750.0,4.5,0.0,20000,6,12
96,5373.7,5373.4,5374.0,0.941,0.733,0.728,0.941,0.938,0.939,Fe,1,5750.0,4.5,0.0,20000,16,32
97,5379.6,5379.3,5379.8,0.962,0.762,0.758,0.962,0.943,0.953,Fe,1,5750.0,4.5,0.0,20000,18,36
