ll
5392.33
5468.10
5476.90
5578.72
5587.85
5593.74
6108.11
6111.07
6128.96
6130.13
6133.96
6175.36
6176.81
6177.24
6186.71
6204.6
6223.98
6314.66
6322.17
6327.60
6378.25
6482.80
6598.60
6635.12
6643.63
6767.77
6772.32
