#wavelength_payne flux_payne
3929.742081 0.932860
3929.756493 0.931625
3929.770906 0.930383
3929.785319 0.929147
3929.799732 0.927968
3929.814144 0.926881
3929.828557 0.925833
3929.842970 0.924872
3929.857383 0.924137
3929.871796 0.923571
3929.886209 0.923037
3929.900622 0.922464
3929.915035 0.921833
3929.929448 0.921179
3929.943862 0.920332
3929.958275 0.919005
3929.972688 0.917354
3929.987102 0.915396
3930.001515 0.912301
3930.015929 0.907657
3930.030342 0.902413
3930.044756 0.895419
3930.059170 0.884244
3930.073583 0.870487
3930.087997 0.855861
3930.102411 0.839274
3930.116825 0.820227
3930.131239 0.800272
3930.145653 0.777942
3930.160067 0.750172
3930.174481 0.719408
3930.188895 0.689201
3930.203309 0.661990
3930.217724 0.638148
3930.232138 0.615468
3930.246552 0.594684
3930.260967 0.578115
3930.275381 0.563665
3930.289796 0.552846
3930.304210 0.553561
3930.318625 0.566224
3930.333040 0.582774
3930.347454 0.600842
3930.361869 0.622182
3930.376284 0.645027
3930.390699 0.668625
3930.405114 0.694479
3930.419529 0.722429
3930.433944 0.750801
3930.448359 0.776362
3930.462774 0.796563
3930.477189 0.814385
3930.491605 0.831407
3930.506020 0.846170
3930.520435 0.858999
3930.534851 0.871020
3930.549266 0.880563
3930.563682 0.885784
3930.578097 0.889147
3930.592513 0.892213
3930.606929 0.894481
3930.621344 0.896122
3930.635760 0.897543
3930.650176 0.898556
3930.664592 0.898937
3930.679008 0.899057
3930.693424 0.899018
3930.707840 0.898575
3930.722256 0.897847
3930.736672 0.897054
3930.751088 0.896228
3930.765505 0.895352
3930.779921 0.894456
3930.794337 0.893530
3930.808754 0.892530
3930.823170 0.891483
3930.837587 0.890404
3930.852003 0.889226
3930.866420 0.887917
3930.880837 0.886559
3930.895254 0.885146
3930.909670 0.883605
3930.924087 0.881990
3930.938504 0.880313
3930.952921 0.878436
3930.967338 0.876324
3930.981755 0.874128
3930.996172 0.871919
3931.010589 0.869677
3931.025007 0.867419
3931.039424 0.865169
3931.053841 0.862950
3931.068259 0.860765
3931.082676 0.858591
3931.097094 0.856640
3931.111511 0.855180
3931.125929 0.853954
3931.140346 0.852796
3931.154764 0.851834
3931.169182 0.851061
3931.183600 0.850349
3931.198017 0.849697
3931.212435 0.849165
3931.226853 0.848688
3931.241271 0.848184
3931.255689 0.847606
3931.270108 0.846961
3931.284526 0.846294
3931.298944 0.845587
3931.313362 0.844809
3931.327781 0.843999
3931.342199 0.843118
3931.356617 0.842045
3931.371036 0.840815
3931.385454 0.839532
3931.399873 0.838164
3931.414292 0.836658
3931.428710 0.835095
3931.443129 0.833501
3931.457548 0.831825
3931.471967 0.830090
3931.486386 0.828332
3931.500805 0.826518
3931.515224 0.824623
3931.529643 0.822696
3931.544062 0.820755
3931.558481 0.818780
3931.572900 0.816783
3931.587320 0.814764
3931.601739 0.812659
3931.616158 0.810440
3931.630578 0.808178
3931.644997 0.805838
3931.659417 0.803317
3931.673836 0.800689
3931.688256 0.797987
3931.702676 0.795058
3931.717095 0.791856
3931.731515 0.788554
3931.745935 0.785067
3931.760355 0.781155
3931.774775 0.777015
3931.789195 0.772552
3931.803615 0.767033
3931.818035 0.760351
3931.832455 0.753274
3931.846876 0.746010
3931.861296 0.738332
3931.875716 0.730451
3931.890137 0.722424
3931.904557 0.713962
3931.918978 0.705071
3931.933398 0.696081
3931.947819 0.687981
3931.962240 0.681689
3931.976660 0.676214
3931.991081 0.671029
3932.005502 0.666691
3932.019923 0.663118
3932.034344 0.659879
3932.048765 0.657944
3932.063186 0.658412
3932.077607 0.659935
3932.092028 0.661375
3932.106449 0.662590
3932.120870 0.663618
3932.135292 0.664577
3932.149713 0.665396
3932.164134 0.665985
3932.178556 0.666477
3932.192977 0.666377
3932.207399 0.664740
3932.221820 0.661970
3932.236242 0.658899
3932.250664 0.655547
3932.265086 0.651778
3932.279507 0.647841
3932.293929 0.643669
3932.308351 0.638916
3932.322773 0.633772
3932.337195 0.628500
3932.351617 0.622973
3932.366039 0.617101
3932.380462 0.611095
3932.394884 0.604996
3932.409306 0.598680
3932.423729 0.592233
3932.438151 0.585685
3932.452573 0.578817
3932.466996 0.571559
3932.481418 0.564160
3932.495841 0.556701
3932.510264 0.549104
3932.524686 0.541433
3932.539109 0.533741
3932.553532 0.526002
3932.567955 0.518210
3932.582378 0.510400
3932.596801 0.502759
3932.611224 0.495493
3932.625647 0.488412
3932.640070 0.481370
3932.654493 0.474432
3932.668917 0.467595
3932.683340 0.460794
3932.697763 0.454082
3932.712187 0.447555
3932.726610 0.441111
3932.741034 0.434606
3932.755457 0.427924
3932.769881 0.421080
3932.784305 0.414186
3932.798728 0.407234
3932.813152 0.400176
3932.827576 0.393071
3932.842000 0.385922
3932.856424 0.378652
3932.870848 0.371281
3932.885272 0.363885
3932.899696 0.356491
3932.914120 0.349102
3932.928544 0.341715
3932.942968 0.334359
3932.957393 0.327083
3932.971817 0.319865
3932.986242 0.312682
3933.000666 0.305617
3933.015091 0.298729
3933.029515 0.291912
3933.043940 0.285189
3933.058364 0.278702
3933.072789 0.272374
3933.087214 0.266086
3933.101639 0.259851
3933.116064 0.253687
3933.130489 0.247550
3933.144914 0.241598
3933.159339 0.236081
3933.173764 0.230824
3933.188189 0.225617
3933.202614 0.220474
3933.217039 0.215407
3933.231465 0.210366
3933.245890 0.205414
3933.260315 0.200661
3933.274741 0.196017
3933.289166 0.191390
3933.303592 0.186794
3933.318018 0.182230
3933.332443 0.177677
3933.346869 0.173098
3933.361295 0.168461
3933.375721 0.163794
3933.390147 0.159039
3933.404573 0.154006
3933.418999 0.148702
3933.433425 0.143307
3933.447851 0.137776
3933.462277 0.131966
3933.476703 0.126031
3933.491129 0.120089
3933.505556 0.114127
3933.519982 0.108147
3933.534408 0.102196
3933.548835 0.096624
3933.563261 0.091745
3933.577688 0.087170
3933.592115 0.082948
3933.606541 0.079701
3933.620968 0.077252
3933.635395 0.075102
3933.649822 0.073589
3933.664249 0.073102
3933.678676 0.073043
3933.693103 0.073731
3933.707530 0.076338
3933.721957 0.080343
3933.736384 0.084700
3933.750811 0.089326
3933.765238 0.094346
3933.779666 0.099524
3933.794093 0.104889
3933.808521 0.110715
3933.822948 0.116846
3933.837376 0.122983
3933.851803 0.128904
3933.866231 0.134538
3933.880659 0.140062
3933.895086 0.145513
3933.909514 0.150795
3933.923942 0.155977
3933.938370 0.161082
3933.952798 0.165943
3933.967226 0.170516
3933.981654 0.174984
3933.996082 0.179481
3934.010510 0.184041
3934.024938 0.188634
3934.039367 0.193238
3934.053795 0.197872
3934.068223 0.202537
3934.082652 0.207214
3934.097080 0.212046
3934.111509 0.217219
3934.125937 0.222555
3934.140366 0.227916
3934.154795 0.233346
3934.169224 0.238841
3934.183652 0.244364
3934.198081 0.250036
3934.212510 0.256003
3934.226939 0.262102
3934.241368 0.268286
3934.255797 0.274717
3934.270226 0.281363
3934.284656 0.288076
3934.299085 0.294850
3934.313514 0.301733
3934.327943 0.308664
3934.342373 0.315670
3934.356802 0.322880
3934.371232 0.330253
3934.385661 0.337675
3934.400091 0.345153
3934.414520 0.352719
3934.428950 0.360321
3934.443380 0.367910
3934.457810 0.375466
3934.472240 0.382999
3934.486670 0.390547
3934.501100 0.398198
3934.515530 0.405993
3934.529960 0.413846
3934.544390 0.421656
3934.558820 0.429362
3934.573250 0.437003
3934.587680 0.444631
3934.602111 0.452255
3934.616541 0.459874
3934.630972 0.467490
3934.645402 0.474999
3934.659833 0.482256
3934.674263 0.489372
3934.688694 0.496469
3934.703125 0.503558
3934.717555 0.510637
3934.731986 0.517712
3934.746417 0.524735
3934.760848 0.531640
3934.775279 0.538485
3934.789710 0.545289
3934.804141 0.551971
3934.818572 0.558525
3934.833003 0.565038
3934.847435 0.571518
3934.861866 0.577931
3934.876297 0.584312
3934.890729 0.590634
3934.905160 0.596781
3934.919592 0.602765
3934.934023 0.608693
3934.948455 0.614523
3934.962887 0.620166
3934.977318 0.625727
3934.991750 0.631264
3935.006182 0.636739
3935.020614 0.642161
3935.035046 0.647548
3935.049478 0.652772
3935.063910 0.657720
3935.078342 0.662550
3935.092774 0.667310
3935.107206 0.671889
3935.121638 0.676328
3935.136071 0.680715
3935.150503 0.684991
3935.164935 0.689100
3935.179368 0.693141
3935.193800 0.697112
3935.208233 0.700907
3935.222666 0.704583
3935.237098 0.708236
3935.251531 0.711886
3935.265964 0.715532
3935.280397 0.719175
3935.294829 0.722787
3935.309262 0.726323
3935.323695 0.729814
3935.338128 0.733213
3935.352561 0.736279
3935.366995 0.738933
3935.381428 0.741435
3935.395861 0.743760
3935.410294 0.745681
3935.424728 0.747384
3935.439161 0.748850
3935.453595 0.749560
3935.468028 0.749446
3935.482462 0.749052
3935.496895 0.748468
3935.511329 0.747468
3935.525763 0.746266
3935.540197 0.745001
3935.554630 0.743549
3935.569064 0.741913
3935.583498 0.740223
3935.597932 0.738626
3935.612366 0.737219
3935.626800 0.735898
3935.641234 0.734638
3935.655669 0.733556
3935.670103 0.732629
3935.684537 0.731762
3935.698972 0.731051
3935.713406 0.730618
3935.727840 0.730305
3935.742275 0.730179
3935.756710 0.730558
3935.771144 0.731340
3935.785579 0.732248
3935.800014 0.733335
3935.814448 0.734708
3935.828883 0.736200
3935.843318 0.737932
3935.857753 0.740280
3935.872188 0.743073
3935.886623 0.746077
3935.901058 0.749653
3935.915493 0.754038
3935.929929 0.758742
3935.944364 0.763655
3935.958799 0.769078
3935.973235 0.774824
3935.987670 0.780765
3936.002105 0.787304
3936.016541 0.794607
3936.030977 0.802196
3936.045412 0.809597
3936.059848 0.816562
3936.074284 0.823277
3936.088719 0.829884
3936.103155 0.836205
3936.117591 0.842194
3936.132027 0.848065
3936.146463 0.853261
3936.160899 0.856956
3936.175335 0.859897
3936.189771 0.862736
3936.204208 0.865360
3936.218644 0.867764
3936.233080 0.870093
3936.247517 0.872203
3936.261953 0.873851
3936.276390 0.875287
3936.290826 0.876701
3936.305263 0.878044
3936.319699 0.879322
3936.334136 0.880580
3936.348573 0.881823
3936.363010 0.883040
3936.377446 0.884245
3936.391883 0.885423
3936.406320 0.886530
3936.420757 0.887577
3936.435194 0.888607
3936.449631 0.889618
3936.464069 0.890599
3936.478506 0.891567
3936.492943 0.892537
3936.507380 0.893509
3936.521818 0.894483
3936.536255 0.895454
3936.550693 0.896407
3936.565130 0.897333
3936.579568 0.898248
3936.594006 0.899134
3936.608443 0.899948
3936.622881 0.900714
3936.637319 0.901473
3936.651757 0.902238
3936.666195 0.903010
3936.680633 0.903785
3936.695071 0.904542
3936.709509 0.905257
3936.723947 0.905947
3936.738385 0.906644
3936.752823 0.907383
3936.767261 0.908170
3936.781700 0.908975
3936.796138 0.909772
3936.810577 0.910551
3936.825015 0.911321
3936.839454 0.912089
3936.853892 0.912856
3936.868331 0.913621
3936.882770 0.914386
3936.897208 0.915150
3936.911647 0.915910
3936.926086 0.916670
3936.940525 0.917417
3936.954964 0.918129
3936.969403 0.918806
3936.983842 0.919471
3936.998281 0.920100
3937.012720 0.920659
3937.027160 0.921187
3937.041599 0.921687
3937.056038 0.922112
3937.070478 0.922471
3937.084917 0.922788
3937.099357 0.922898
3937.113796 0.922649
3937.128236 0.922246
3937.142675 0.921787
3937.157115 0.921180
3937.171555 0.920461
3937.185995 0.919690
3937.200435 0.918768
3937.214874 0.917618
3937.229314 0.916374
3937.243754 0.915264
3937.258195 0.914487
3937.272635 0.913937
3937.287075 0.913483
3937.301515 0.913270
3937.315955 0.913388
3937.330396 0.913634
3937.344836 0.914174
3937.359277 0.915414
3937.373717 0.917085
3937.388158 0.918831
3937.402598 0.920621
3937.417039 0.922466
3937.431480 0.924329
3937.445920 0.926190
3937.460361 0.928045
3937.474802 0.929896
3937.489243 0.931604
3937.503684 0.932821
3937.518125 0.933505
3937.532566 0.934008
3937.547007 0.934394
3937.561449 0.934520
3937.575890 0.934522
3937.590331 0.934449
3937.604772 0.934151
3937.619214 0.933631
3937.633655 0.933050
3937.648097 0.932594
3937.662538 0.932384
3937.676980 0.932283
3937.691422 0.932246
3937.705863 0.932389
3937.720305 0.932688
3937.734747 0.933053
3937.749189 0.933624
3937.763631 0.934553
3937.778073 0.935638
3937.792515 0.936735
3937.806957 0.937864
3937.821399 0.939020
3937.835841 0.940175
3937.850284 0.941286
3937.864726 0.942328
3937.879168 0.943342
3937.893611 0.944272
3937.908053 0.944989
3937.922496 0.945560
3937.936938 0.946084
3937.951381 0.946517
3937.965823 0.946824
3937.980266 0.947083
3937.994709 0.947310
3938.009152 0.947458
3938.023595 0.947558
3938.038038 0.947590
3938.052481 0.947381
3938.066924 0.946873
3938.081367 0.946255
3938.095810 0.945439
3938.110253 0.944170
3938.124696 0.942649
3938.139140 0.941024
3938.153583 0.939124
3938.168027 0.936925
3938.182470 0.934624
3938.196914 0.932097
3938.211357 0.929076
3938.225801 0.925816
3938.240244 0.922630
3938.254688 0.919691
3938.269132 0.916993
3938.283576 0.914383
3938.298020 0.912064
3938.312464 0.910328
3938.326908 0.908856
3938.341352 0.907738
3938.355796 0.907644
3938.370240 0.908459
3938.384684 0.909564
3938.399128 0.910986
3938.413573 0.912958
3938.428017 0.915167
3938.442462 0.917602
3938.456906 0.920641
3938.471351 0.924149
3938.485795 0.927750
3938.500240 0.931234
3938.514684 0.934536
3938.529129 0.937764
3938.543574 0.940950
3938.558019 0.944035
3938.572464 0.947048
3938.586909 0.949938
3938.601354 0.952300
3938.615799 0.953925
3938.630244 0.955260
3938.644689 0.956522
3938.659134 0.957612
3938.673580 0.958595
3938.688025 0.959517
3938.702470 0.960261
3938.716916 0.960785
3938.731361 0.961229
3938.745807 0.961627
3938.760252 0.961923
3938.774698 0.962162
3938.789144 0.962386
3938.803589 0.962577
3938.818035 0.962732
3938.832481 0.962874
3938.846927 0.963030
3938.861373 0.963217
3938.875819 0.963420
3938.890265 0.963628
3938.904711 0.963847
3938.919157 0.964077
3938.933604 0.964312
3938.948050 0.964557
3938.962496 0.964824
3938.976943 0.965100
3938.991389 0.965364
3939.005835 0.965594
3939.020282 0.965795
3939.034729 0.965986
3939.049175 0.966174
3939.063622 0.966355
3939.078069 0.966533
3939.092516 0.966720
3939.106962 0.966929
3939.121409 0.967156
3939.135856 0.967389
3939.150303 0.967625
3939.164750 0.967869
3939.179198 0.968115
3939.193645 0.968363
3939.208092 0.968613
3939.222539 0.968866
3939.236987 0.969116
3939.251434 0.969346
3939.265881 0.969550
3939.280329 0.969743
3939.294776 0.969928
3939.309224 0.970091
3939.323672 0.970240
3939.338119 0.970382
3939.352567 0.970502
3939.367015 0.970597
3939.381463 0.970682
3939.395911 0.970773
3939.410359 0.970876
3939.424807 0.970987
3939.439255 0.971096
3939.453703 0.971199
3939.468151 0.971295
3939.482599 0.971389
3939.497048 0.971485
3939.511496 0.971587
3939.525944 0.971692
3939.540393 0.971806
3939.554841 0.971945
3939.569290 0.972111
3939.583739 0.972284
3939.598187 0.972453
3939.612636 0.972614
3939.627085 0.972771
3939.641534 0.972929
3939.655982 0.973091
3939.670431 0.973257
3939.684880 0.973422
3939.699329 0.973571
3939.713779 0.973690
3939.728228 0.973798
3939.742677 0.973905
3939.757126 0.974011
3939.771575 0.974116
3939.786025 0.974221
3939.800474 0.974327
3939.814924 0.974435
3939.829373 0.974543
3939.843823 0.974642
3939.858272 0.974716
3939.872722 0.974774
3939.887172 0.974824
3939.901621 0.974851
3939.916071 0.974848
3939.930521 0.974834
3939.944971 0.974828
3939.959421 0.974838
3939.973871 0.974859
3939.988321 0.974887
