# wavelength_payne flux_payne
3929.742179 0.928606
3929.756591 0.927269
3929.771004 0.925942
3929.785417 0.924638
3929.799830 0.923366
3929.814242 0.922170
3929.828655 0.921087
3929.843068 0.920130
3929.857481 0.919295
3929.871894 0.918566
3929.886307 0.917930
3929.900720 0.917364
3929.915133 0.916752
3929.929546 0.916019
3929.943960 0.915133
3929.958373 0.913988
3929.972786 0.912318
3929.987200 0.910002
3930.001613 0.907008
3930.016027 0.902744
3930.030440 0.896781
3930.044854 0.888957
3930.059268 0.879193
3930.073681 0.867322
3930.088095 0.853321
3930.102509 0.837469
3930.116923 0.819587
3930.131337 0.799314
3930.145751 0.776520
3930.160165 0.751757
3930.174579 0.726041
3930.188993 0.699980
3930.203407 0.674253
3930.217822 0.650525
3930.232236 0.629181
3930.246650 0.610154
3930.261065 0.594300
3930.275479 0.583290
3930.289894 0.578093
3930.304308 0.578893
3930.318723 0.585548
3930.333138 0.597777
3930.347552 0.614597
3930.361967 0.634236
3930.376382 0.655564
3930.390797 0.678617
3930.405212 0.703115
3930.419627 0.727563
3930.434042 0.751351
3930.448457 0.773982
3930.462872 0.794675
3930.477287 0.812956
3930.491703 0.828938
3930.506118 0.842980
3930.520533 0.855229
3930.534949 0.865384
3930.549364 0.873444
3930.563780 0.879645
3930.578195 0.884170
3930.592611 0.887223
3930.607027 0.889237
3930.621442 0.890807
3930.635858 0.891914
3930.650274 0.892604
3930.664690 0.892955
3930.679106 0.892991
3930.693522 0.892727
3930.707938 0.892224
3930.722354 0.891573
3930.736770 0.890785
3930.751186 0.889895
3930.765603 0.888957
3930.780019 0.887986
3930.794435 0.886980
3930.808852 0.885936
3930.823268 0.884835
3930.837685 0.883667
3930.852101 0.882430
3930.866518 0.881116
3930.880935 0.879718
3930.895352 0.878240
3930.909768 0.876680
3930.924185 0.875012
3930.938602 0.873218
3930.953019 0.871298
3930.967436 0.869264
3930.981853 0.867128
3930.996270 0.864910
3931.010687 0.862651
3931.025105 0.860391
3931.039522 0.858134
3931.053939 0.855885
3931.068357 0.853734
3931.082774 0.851727
3931.097192 0.849888
3931.111609 0.848245
3931.126027 0.846821
3931.140444 0.845609
3931.154862 0.844572
3931.169280 0.843644
3931.183698 0.842825
3931.198115 0.842100
3931.212533 0.841425
3931.226951 0.840764
3931.241369 0.840104
3931.255787 0.839429
3931.270206 0.838705
3931.284624 0.837928
3931.299042 0.837101
3931.313460 0.836211
3931.327879 0.835238
3931.342297 0.834171
3931.356715 0.833008
3931.371134 0.831736
3931.385552 0.830352
3931.399971 0.828867
3931.414390 0.827300
3931.428808 0.825659
3931.443227 0.823948
3931.457646 0.822176
3931.472065 0.820354
3931.486484 0.818477
3931.500903 0.816549
3931.515322 0.814581
3931.529741 0.812574
3931.544160 0.810533
3931.558579 0.808460
3931.572998 0.806343
3931.587418 0.804173
3931.601837 0.801946
3931.616256 0.799638
3931.630676 0.797234
3931.645095 0.794735
3931.659515 0.792130
3931.673934 0.789391
3931.688354 0.786499
3931.702774 0.783458
3931.717194 0.780226
3931.731613 0.776773
3931.746033 0.773099
3931.760453 0.769121
3931.774873 0.764671
3931.789293 0.759655
3931.803713 0.754057
3931.818133 0.747871
3931.832554 0.741112
3931.846974 0.733864
3931.861394 0.726260
3931.875814 0.718379
3931.890235 0.710200
3931.904655 0.701756
3931.919076 0.693442
3931.933496 0.685454
3931.947917 0.677930
3931.962338 0.671091
3931.976758 0.665095
3931.991179 0.659921
3932.005600 0.655468
3932.020021 0.651846
3932.034442 0.649242
3932.048863 0.647698
3932.063284 0.647063
3932.077705 0.647165
3932.092126 0.647841
3932.106547 0.648814
3932.120968 0.649643
3932.135390 0.650313
3932.149811 0.650835
3932.164232 0.651021
3932.178654 0.650681
3932.193075 0.649712
3932.207497 0.648073
3932.221918 0.645746
3932.236340 0.642769
3932.250762 0.639272
3932.265184 0.635437
3932.279605 0.631295
3932.294027 0.626834
3932.308449 0.622068
3932.322871 0.617008
3932.337293 0.611649
3932.351715 0.606033
3932.366137 0.600228
3932.380560 0.594249
3932.394982 0.588108
3932.409404 0.581817
3932.423827 0.575362
3932.438249 0.568715
3932.452671 0.561879
3932.467094 0.554865
3932.481517 0.547679
3932.495939 0.540342
3932.510362 0.532905
3932.524785 0.525407
3932.539207 0.517851
3932.553630 0.510246
3932.568053 0.502679
3932.582476 0.495193
3932.596899 0.487815
3932.611322 0.480571
3932.625745 0.473479
3932.640168 0.466530
3932.654591 0.459692
3932.669015 0.452933
3932.683438 0.446263
3932.697861 0.439683
3932.712285 0.433161
3932.726708 0.426659
3932.741132 0.420155
3932.755555 0.413621
3932.769979 0.407011
3932.784403 0.400322
3932.798826 0.393563
3932.813250 0.386747
3932.827674 0.379875
3932.842098 0.372948
3932.856522 0.365971
3932.870946 0.358968
3932.885370 0.351944
3932.899794 0.344911
3932.914218 0.337897
3932.928642 0.330921
3932.943066 0.323988
3932.957491 0.317105
3932.971915 0.310299
3932.986340 0.303583
3933.000764 0.296955
3933.015189 0.290442
3933.029613 0.284066
3933.044038 0.277831
3933.058462 0.271727
3933.072887 0.265733
3933.087312 0.259841
3933.101737 0.254029
3933.116162 0.248322
3933.130587 0.242758
3933.145012 0.237360
3933.159437 0.232138
3933.173862 0.227086
3933.188287 0.222188
3933.202712 0.217405
3933.217137 0.212692
3933.231563 0.208054
3933.245988 0.203499
3933.260414 0.199021
3933.274839 0.194613
3933.289265 0.190262
3933.303690 0.185953
3933.318116 0.181637
3933.332541 0.177306
3933.346967 0.172954
3933.361393 0.168544
3933.375819 0.164023
3933.390245 0.159365
3933.404671 0.154560
3933.419097 0.149567
3933.433523 0.144370
3933.447949 0.138985
3933.462375 0.133454
3933.476801 0.127812
3933.491227 0.122072
3933.505654 0.116275
3933.520080 0.110589
3933.534507 0.105079
3933.548933 0.099782
3933.563360 0.094853
3933.577786 0.090435
3933.592213 0.086574
3933.606639 0.083274
3933.621066 0.080605
3933.635493 0.078621
3933.649920 0.077275
3933.664347 0.076688
3933.678774 0.077024
3933.693201 0.078360
3933.707628 0.080655
3933.722055 0.083797
3933.736482 0.087727
3933.750909 0.092274
3933.765337 0.097159
3933.779764 0.102307
3933.794191 0.107719
3933.808619 0.113333
3933.823046 0.119024
3933.837474 0.124738
3933.851901 0.130416
3933.866329 0.135956
3933.880757 0.141331
3933.895184 0.146557
3933.909612 0.151649
3933.924040 0.156599
3933.938468 0.161381
3933.952896 0.165996
3933.967324 0.170478
3933.981752 0.174850
3933.996180 0.179144
3934.010608 0.183414
3934.025037 0.187708
3934.039465 0.192025
3934.053893 0.196359
3934.068322 0.200755
3934.082750 0.205242
3934.097178 0.209833
3934.111607 0.214542
3934.126036 0.219376
3934.140464 0.224325
3934.154893 0.229367
3934.169322 0.234495
3934.183750 0.239731
3934.198179 0.245079
3934.212608 0.250565
3934.227037 0.256220
3934.241466 0.262051
3934.255895 0.268046
3934.270324 0.274174
3934.284754 0.280431
3934.299183 0.286796
3934.313612 0.293252
3934.328041 0.299805
3934.342471 0.306468
3934.356900 0.313240
3934.371330 0.320124
3934.385759 0.327117
3934.400189 0.334204
3934.414619 0.341345
3934.429048 0.348521
3934.443478 0.355724
3934.457908 0.362950
3934.472338 0.370212
3934.486768 0.377527
3934.501198 0.384902
3934.515628 0.392328
3934.530058 0.399789
3934.544488 0.407266
3934.558918 0.414738
3934.573348 0.422183
3934.587779 0.429608
3934.602209 0.437023
3934.616639 0.444404
3934.631070 0.451730
3934.645500 0.458984
3934.659931 0.466160
3934.674361 0.473260
3934.688792 0.480297
3934.703223 0.487294
3934.717654 0.494271
3934.732084 0.501221
3934.746515 0.508135
3934.760946 0.514997
